Difference,File,Compared
3.2062189999999977,8,7
1.2636669999999983,13,7
0.2137419999999985,49,7
4.4391310000000015,23,7
1.307122000000001,37,7
0.4072249999999968,43,7
0.6318490000000003,9,8
0.2811179999999964,10,9
0.24291,96,9
0.0228359999999956,92,10
0.6270430000000036,64,10
1.7621600000000035,52,10
13.186301000000004,22,10
0.0106209999999968,50,13
0.6848279999999982,21,13
0.1207269999999972,14,13
0.0340450000000023,15,14
0.1169989999999983,57,15
0.3337639999999993,44,21
0.0013459999999978,54,21
0.4151320000000025,61,21
3.212562,47,23
0.7417300000000031,41,37
0.1357950000000014,51,44
21.161404,86,47
0.0656080000000025,93,50
0.105553000000001,63,52
0.1169389999999999,53,52
0.436947999999997,62,53
0.000530999999999,65,57
0.0853220000000019,94,61
0.1821210000000013,91,62
0.2776810000000016,90,64
0.1385939999999959,97,90
1.0606830000000016,95,91
